a,movieId,title,genres,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,count
2873,2959,Fight Club (1999),Action|Crime|Drama|Thriller,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1912
360,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1904
2676,2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1899
340,344,Ace Ventura: Pet Detective (1994),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826
1944,2028,Saving Private Ryan (1998),Action|Drama|War,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1826
496,500,Mrs. Doubtfire (1993),Comedy|Drama,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1748
589,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1738
363,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1725
1528,1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1713
4897,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1709
591,597,Pretty Woman (1990),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1697
1075,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1673
163,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1646
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1631
1212,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1630
1113,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1627
724,736,Twister (1996),Action|Adventure|Romance|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1626
3487,3578,Gladiator (2000),Action|Adventure|Drama,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1609
1237,1265,Groundhog Day (1993),Comedy|Fantasy|Romance,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1604
33,34,Babe (1995),Children|Drama,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1592
1661,1721,Titanic (1997),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1586
1172,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1565
228,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556
313,316,Stargate (1994),Action|Adventure|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1555
721,733,"Rock, The (1996)",Action|Adventure|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1555
4211,4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1540
1263,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520
5853,5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1516
1188,1214,Alien (1979),Horror|Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1504
2543,2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1498
537,541,Blade Runner (1982),Action|Sci-Fi|Thriller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1487
581,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1480
7041,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1478
535,539,Sleepless in Seattle (1993),Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1477
4132,4226,Memento (2000),Mystery|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1471
1017,1036,Die Hard (1988),Action|Crime|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1459
2630,2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1454
1169,1193,One Flew Over the Cuckoo's Nest (1975),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1450
345,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1450
9,10,GoldenEye (1995),Action|Adventure|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1435
580,586,Home Alone (1990),Children|Comedy,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388
206,208,Waterworld (1995),Action|Adventure|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1376
353,357,Four Weddings and a Funeral (1994),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1365
2911,2997,Being John Malkovich (1999),Comedy|Drama|Fantasy,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1360
38,39,Clueless (1995),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1360
1052,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1347
250,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1339
289,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1330
1645,1704,Good Will Hunting (1997),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1327
1564,1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1326
325,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1325
1480,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1323
1067,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1310
1187,1213,Goodfellas (1990),Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1304
1195,1221,"Godfather: Part II, The (1974)",Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1304
290,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1285
183,185,"Net, The (1995)",Action|Crime|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1281
1175,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1275
450,454,"Firm, The (1993)",Drama|Thriller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1261
1839,1923,There's Something About Mary (1998),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1261
3902,3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1252
1625,1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1247
2311,2396,Shakespeare in Love (1998),Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1243
430,434,Cliffhanger (1993),Action|Adventure|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1237
907,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1237
1877,1961,Rain Man (1988),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1236
3702,3793,X-Men (2000),Action|Adventure|Sci-Fi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1227
4877,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1220
6429,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1206
765,778,Trainspotting (1996),Comedy|Crime|Drama,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1201
159,161,Crimson Tide (1995),Drama|Thriller|War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1200
285,288,Natural Born Killers (1994),Action|Crime|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1191
20,21,Get Shorty (1995),Comedy|Crime|Thriller,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1186
5,6,Heat (1995),Action|Crime|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1183
1180,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1183
109,111,Taxi Driver (1976),Crime|Drama|Thriller,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1181
5348,5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1180
2832,2918,Ferris Bueller's Day Off (1986),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169
2597,2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168
2620,2706,American Pie (1999),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1164
220,223,Clerks (1994),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162
4790,4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1158
902,919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1151
895,912,Casablanca (1942),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1148
1230,1258,"Shining, The (1980)",Horror,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1137
5252,5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1136
737,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1133
4867,4963,Ocean's Eleven (2001),Crime|Thriller,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1128
1182,1208,Apocalypse Now (1979),Action|Drama|War,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1128
6271,6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120
1471,1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110
2206,2291,Edward Scissorhands (1990),Drama|Fantasy|Romance,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1110
7249,7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1108
2901,2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1105
2244,2329,American History X (1998),Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1100
1,2,Jumanji (1995),Adventure|Children|Fantasy,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1097
335,339,While You Were Sleeping (1995),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1094
1278,1307,When Harry Met Sally... (1989),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1086
24,25,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1086
1356,1387,Jaws (1975),Action|Horror,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1081
139,141,"Birdcage, The (1996)",Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079
93,95,Broken Arrow (1996),Action|Adventure|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1074
1713,1784,As Good as It Gets (1997),Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1069
1884,1968,"Breakfast Club, The (1985)",Comedy|Drama,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1067
1362,1393,Jerry Maguire (1996),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064
297,300,Quiz Show (1994),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1061
3027,3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1057
1196,1222,Full Metal Jacket (1987),Drama|War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1051
2270,2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044
2830,2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1043
2031,2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1039
6764,6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1038
1231,1259,Stand by Me (1986),Adventure|Drama,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1034
4899,4995,"Beautiful Mind, A (2001)",Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1031
1833,1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1024
1079,1101,Top Gun (1986),Action|Romance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1023
1557,1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1023
547,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1021
18,19,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
16,17,Sense and Sensibility (1995),Drama|Romance,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1013
1672,1732,"Big Lebowski, The (1998)",Comedy|Crime,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1011
35,36,Dead Man Walking (1995),Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1005
1326,1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1004
1218,1246,Dead Poets Society (1989),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1004
1199,1225,Amadeus (1984),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000
2090,2174,Beetlejuice (1988),Comedy|Fantasy,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000
1194,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000
3060,3147,"Green Mile, The (1999)",Crime|Drama,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1000
3933,4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,999
436,440,Dave (1993),Comedy|Romance,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,999
1532,1584,Contact (1997),Drama|Sci-Fi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,998
1927,2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,980
1058,1080,Monty Python's Life of Brian (1979),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978
2624,2710,"Blair Witch Project, The (1999)",Drama|Horror|Thriller,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,969
5321,5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,960
2711,2797,Big (1988),Comedy|Drama|Fantasy|Romance,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,959
2417,2502,Office Space (1999),Comedy|Crime,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,950
1928,2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,947
1057,1079,"Fish Called Wanda, A (1988)",Comedy|Crime,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,946
61,62,Mr. Holland's Opus (1995),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,945
775,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,945
2705,2791,Airplane! (1980),Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936
504,508,Philadelphia (1993),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,932
10,11,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,931
8278,8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928
3928,4022,Cast Away (2000),Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,918
887,904,Rear Window (1954),Mystery|Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,917
1596,1653,Gattaca (1997),Drama|Sci-Fi|Thriller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,913
406,410,Addams Family Values (1993),Children|Comedy|Fantasy,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,902
10169,33794,Batman Begins (2005),Action|Crime|IMAX,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,902
906,923,Citizen Kane (1941),Drama|Mystery,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,898
4782,4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,897
2614,2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,894
1193,1219,Psycho (1960),Crime|Horror,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,893
